Id,SalePrice
1461,130677.22222222222
1462,151572.0
1463,188035.55555555556
1464,182596.83333333334
1465,205859.7111111111
1466,183266.66666666666
1467,162436.52222222224
1468,173754.64444444445
1469,181445.74444444446
1470,118050.11111111111
1471,188951.16666666666
1472,93082.22222222222
1473,101171.11111111111
1474,152092.14444444445
1475,140837.07777777777
1476,341608.5444444445
1477,252186.7
1478,299065.1666666667
1479,245688.93333333332
1480,409183.73333333334
1481,291689.6222222222
1482,211217.44444444444
1483,174736.92222222223
1484,168404.06666666668
1485,167001.65555555557
1486,198950.93333333332
1487,356583.0333333333
1488,244719.61111111112
1489,207662.46666666667
1490,199148.77777777778
1491,192282.77777777778
1492,104596.15555555555
1493,190418.16666666666
1494,287100.5444444445
1495,289914.4666666667
1496,210989.66666666666
1497,179060.3
1498,156615.16666666666
1499,154080.97777777776
1500,153966.2888888889
1501,166815.55555555556
1502,154953.0888888889
1503,284689.2555555556
1504,229157.27777777778
1505,214921.7111111111
1506,184886.14444444445
1507,223616.84444444443
1508,207445.02222222224
1509,163251.11111111112
1510,147915.7111111111
1511,148787.07777777777
1512,165723.6
1513,151306.8777777778
1514,165750.05555555556
1515,175976.66666666666
1516,166861.11111111112
1517,149428.4111111111
1518,129339.62222222223
1519,219931.98888888888
1520,134562.22222222222
1521,142987.02222222224
1522,169345.0
1523,110577.77777777778
1524,123066.66666666667
1525,128066.66666666667
1526,122335.83333333333
1527,112996.94444444444
1528,126496.38888888889
1529,138508.33333333334
1530,166939.33333333334
1531,135347.77777777778
1532,105533.88888888889
1533,150936.82222222222
1534,119505.32222222222
1535,164791.36666666667
1536,121003.61111111111
1537,89197.22222222222
1538,195671.07777777777
1539,235668.83333333334
1540,114325.56666666667
1541,151887.97777777776
1542,149980.4
1543,218248.42222222223
1544,78261.11111111111
1545,108841.94444444444
1546,125229.16666666667
1547,139963.15555555557
1548,132850.8
1549,120705.55555555556
1550,140851.66666666666
1551,115875.55555555556
1552,152905.14444444445
1553,150621.48888888888
1554,108704.28888888888
1555,183684.66666666666
1556,98563.33333333333
1557,115786.53333333334
1558,94697.22222222222
1559,109991.48888888888
1560,146694.67777777778
1561,151346.27777777778
1562,122311.66666666667
1563,124114.72222222222
1564,157533.7888888889
1565,159240.47777777776
1566,217295.56666666668
1567,83715.55555555556
1568,226523.88888888888
1569,155727.6
1570,131133.97777777776
1571,139092.27777777778
1572,139438.33333333334
1573,246647.86666666667
1574,123182.22222222222
1575,207252.11111111112
1576,218786.55555555556
1577,203076.27777777778
1578,156925.53333333333
1579,142250.11111111112
1580,187961.44444444444
1581,142471.57777777777
1582,129543.88888888889
1583,315570.18888888886
1584,244595.4
1585,140988.33333333334
1586,78581.66666666667
1587,111216.46666666666
1588,148273.88888888888
1589,99376.66666666667
1590,131434.44444444444
1591,106147.77777777778
1592,117344.44444444444
1593,123312.5
1594,134191.6222222222
1595,124550.03333333334
1596,232081.2
1597,168818.75555555554
1598,186831.07777777777
1599,199717.33333333334
1600,188393.9111111111
1601,80062.22222222222
1602,121926.66666666667
1603,105352.22222222222
1604,321907.73333333334
1605,250432.8111111111
1606,164789.4
1607,158044.0888888889
1608,203930.27777777778
1609,199638.46666666667
1610,163279.7
1611,146783.11111111112
1612,160186.22222222222
1613,168461.3777777778
1614,123393.61111111111
1615,90220.0
1616,87024.44444444444
1617,91916.66666666667
1618,127205.55555555556
1619,136010.66666666666
1620,145073.44444444444
1621,143469.98888888888
1622,147001.11111111112
1623,297569.8888888889
1624,221193.65555555557
1625,129579.83333333333
1626,168318.72222222222
1627,190531.11111111112
1628,278159.0888888889
1629,175363.22222222222
1630,368048.68888888886
1631,231381.2111111111
1632,256813.66666666666
1633,162499.0888888889
1634,182920.04444444444
1635,182736.6222222222
1636,158170.95555555556
1637,179267.63333333333
1638,211683.88888888888
1639,177985.54444444444
1640,250955.0888888889
1641,189072.77777777778
1642,213772.24444444446
1643,228706.05555555556
1644,236898.93333333332
1645,183974.44444444444
1646,149798.6888888889
1647,158706.44444444444
1648,136265.55555555556
1649,136418.33333333334
1650,120265.66666666667
1651,117387.77777777778
1652,90858.33333333333
1653,98218.88888888889
1654,156652.77777777778
1655,155587.52222222224
1656,151890.55555555556
1657,158107.77777777778
1658,153619.72222222222
1659,147580.44444444444
1660,145875.34444444443
1661,397521.55555555556
1662,358439.4888888889
1663,362655.8777777778
1664,409043.5777777778
1665,305670.93333333335
1666,342599.97777777776
1667,354223.31111111114
1668,323308.4555555555
1669,290314.4
1670,323828.4888888889
1671,246295.24444444446
1672,429859.4666666667
1673,295364.76666666666
1674,251961.3111111111
1675,186953.7888888889
1676,185187.44444444444
1677,203326.13333333333
1678,363849.5777777778
1679,374040.9888888889
1680,318555.7555555556
1681,261314.46666666667
1682,294484.3
1683,182150.38888888888
1684,174697.22222222222
1685,173684.94444444444
1686,168000.8777777778
1687,164964.06666666668
1688,186949.66666666666
1689,190654.94444444444
1690,183871.66666666666
1691,169937.86666666667
1692,276944.3333333333
1693,164358.35555555555
1694,186607.93333333332
1695,164697.55555555556
1696,276321.4
1697,166534.11111111112
1698,341512.2555555556
1699,303162.63333333336
1700,235893.67777777778
1701,270827.65555555554
